risk_group,n,events,event_rate,event_rate_pct,threshold_low,threshold_high,model
Low,46,1,0.021739130434782608,2.1739130434782608,0.0,0.216,Radiomics signature
Intermediate,102,14,0.13725490196078433,13.725490196078432,0.0,0.216,Radiomics signature
High,39,18,0.46153846153846156,46.15384615384615,0.0,0.216,Radiomics signature
Low,83,9,0.10843373493975904,10.843373493975903,0.13,0.252,Clinical refit
Intermediate,79,22,0.27848101265822783,27.848101265822784,0.13,0.252,Clinical refit
High,25,2,0.08,8.0,0.13,0.252,Clinical refit
Low,42,1,0.023809523809523808,2.380952380952381,0.0,0.14200000000000002,Radiomics + clinical refit
Intermediate,82,10,0.12195121951219512,12.195121951219512,0.0,0.14200000000000002,Radiomics + clinical refit
High,63,22,0.3492063492063492,34.92063492063492,0.0,0.14200000000000002,Radiomics + clinical refit
Low,43,1,0.023255813953488372,2.3255813953488373,0.0,0.10400000000000001,Radiomics + D-FRS pre-operative
Intermediate,47,4,0.0851063829787234,8.51063829787234,0.0,0.10400000000000001,Radiomics + D-FRS pre-operative
High,97,28,0.28865979381443296,28.865979381443296,0.0,0.10400000000000001,Radiomics + D-FRS pre-operative
Low,52,1,0.019230769230769232,1.9230769230769231,0.0,0.11800000000000001,Radiomics + D-FRS intra-operative
Intermediate,43,5,0.11627906976744186,11.627906976744185,0.0,0.11800000000000001,Radiomics + D-FRS intra-operative
High,92,27,0.29347826086956524,29.347826086956523,0.0,0.11800000000000001,Radiomics + D-FRS intra-operative
Low,42,1,0.023809523809523808,2.380952380952381,0.0,0.202,Radiomics + DISPAIR
Intermediate,110,14,0.12727272727272726,12.727272727272727,0.0,0.202,Radiomics + DISPAIR
High,35,18,0.5142857142857142,51.42857142857142,0.0,0.202,Radiomics + DISPAIR
Low,26,1,0.038461538461538464,3.8461538461538463,0.0,0.10200000000000001,Radiomics + DISPAIR refined
Intermediate,53,5,0.09433962264150944,9.433962264150944,0.0,0.10200000000000001,Radiomics + DISPAIR refined
High,69,21,0.30434782608695654,30.434782608695656,0.0,0.10200000000000001,Radiomics + DISPAIR refined
Low,53,1,0.018867924528301886,1.8867924528301887,0.0,0.15,Radiomics + all scores
Intermediate,39,6,0.15384615384615385,15.384615384615385,0.0,0.15,Radiomics + all scores
High,95,26,0.2736842105263158,27.368421052631582,0.0,0.15,Radiomics + all scores
Low,32,7,0.21875,21.875,0.312,0.716,D-FRS pre-operative
Intermediate,111,16,0.14414414414414414,14.414414414414415,0.312,0.716,D-FRS pre-operative
High,44,10,0.22727272727272727,22.727272727272727,0.312,0.716,D-FRS pre-operative
Low,41,10,0.24390243902439024,24.390243902439025,0.018000000000000002,0.082,D-FRS intra-operative
Intermediate,75,5,0.06666666666666667,6.666666666666667,0.018000000000000002,0.082,D-FRS intra-operative
High,71,18,0.2535211267605634,25.352112676056336,0.018000000000000002,0.082,D-FRS intra-operative
Low,12,1,0.08333333333333333,8.333333333333332,0.002,0.03,DISPAIR-FRS
Intermediate,137,31,0.22627737226277372,22.62773722627737,0.002,0.03,DISPAIR-FRS
High,44,2,0.045454545454545456,4.545454545454546,0.002,0.03,DISPAIR-FRS
Low,44,5,0.11363636363636363,11.363636363636363,0.10400000000000001,0.336,DISPAIR-FRS refined
Intermediate,91,21,0.23076923076923078,23.076923076923077,0.10400000000000001,0.336,DISPAIR-FRS refined
High,13,1,0.07692307692307693,7.6923076923076925,0.10400000000000001,0.336,DISPAIR-FRS refined
